repo,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
blossom-editor/blossom,435,5.724138,3.000000,6.506448,1.344828,1.000000,0.672494,6.977011,0.000000,26.820266
tyrantgit/ExplosionField,10,4.900000,2.000000,4.931757,1.500000,1.500000,0.527046,4.300000,0.000000,10.392839
dongjunkun/DropDownMenu,19,4.526316,3.000000,3.657085,1.368421,1.000000,0.495595,2.157895,0.000000,4.246085
googlemaps/android-maps-utils,219,7.123288,5.000000,7.159286,1.675799,1.000000,0.933529,37.739726,1.000000,147.684858
yacy/yacy_search_server,1446,5.544260,4.000000,6.583121,1.391425,1.000000,0.782355,42.947441,0.000000,231.027445
JakeWharton/ThreeTenABP,7,4.285714,4.000000,1.799471,1.428571,1.000000,0.534522,1.428571,0.000000,2.299068
apache/incubator-heron,1675,5.698507,4.000000,6.092318,1.466269,1.000000,0.905593,20.748060,1.000000,185.349645
geoserver/geoserver,12261,7.253160,5.000000,8.606715,1.822119,1.000000,1.467234,43.964848,1.000000,396.771389
fyhertz/libstreaming,89,3.573034,2.000000,4.559923,1.415730,1.000000,0.863515,23.292135,0.000000,66.563914
DataLinkDC/dinky,1334,6.913043,5.000000,7.814615,1.308846,1.000000,0.631004,26.047226,0.000000,113.578669
HelloWorld521/Java,124,3.806452,2.000000,4.101710,1.419355,1.000000,0.846771,5.096774,1.000000,13.849023
codeestX/GeekNews,439,4.626424,2.000000,5.223483,1.446469,1.000000,0.917227,10.009112,0.000000,37.649791
cSploit/android,512,4.208984,2.000000,5.761509,1.517578,1.000000,1.041076,15.652344,0.000000,173.806042
rubensousa/PreviewSeekBar,23,5.652174,2.000000,6.343276,1.173913,1.000000,0.387553,28.173913,1.000000,64.216716
immutables/immutables,2742,4.680890,3.000000,5.085973,1.289570,1.000000,1.148906,30.568563,0.000000,558.417525
Netflix/concurrency-limits,128,4.609375,3.000000,4.597559,1.281250,1.000000,0.709192,8.281250,1.000000,21.318336
fabric8io/kubernetes-client,7777,21.936865,30.000000,13.964461,1.116112,1.000000,0.478734,84.857657,37.000000,528.159438
sherxon/AlgoDS,710,1.338028,1.000000,0.832073,1.004225,1.000000,0.064911,1.411268,0.000000,4.099935
google/volley,231,5.190476,2.000000,5.970077,1.696970,1.000000,2.246532,12.285714,0.000000,80.619480
WinterChenS/my-site,90,6.188889,3.000000,7.975939,1.188889,1.000000,0.494792,35.022222,0.000000,169.598401
AxonFramework/AxonFramework,3809,6.488055,5.000000,6.886797,1.285114,1.000000,0.782618,16.213442,0.000000,101.830607
MisterBooo/LeetCodeAnimation,4,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
spring-projects/spring-boot,13108,5.385719,4.000000,6.312274,1.293866,1.000000,0.783305,12.879387,0.000000,103.949814
Stirling-Tools/Stirling-PDF,585,8.208547,5.000000,8.042328,1.232479,1.000000,0.558838,16.724786,0.000000,73.078522
TheAlgorithms/Java,1505,2.062458,2.000000,1.456855,1.043854,1.000000,0.279039,7.966113,1.000000,27.335452
iluwatar/java-design-patterns,1894,3.363252,3.000000,2.598313,1.197466,1.000000,0.526201,1.840549,0.000000,6.473068
krahets/hello-algo,215,1.874419,2.000000,1.512579,1.000000,1.000000,0.000000,4.706977,1.000000,10.457868
jeecgboot/JeecgBoot,828,7.167874,4.000000,9.061503,1.182367,1.000000,0.460616,49.893720,0.000000,298.852316
PhilJay/MPAndroidChart,306,8.843137,5.000000,10.006632,1.980392,1.000000,1.230597,91.032680,1.000000,517.797244
ReactiveX/RxJava,11867,2.524564,1.000000,5.253586,1.318699,1.000000,0.886281,47.462627,0.000000,1802.905389
geekxh/hello-algorithm,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
halo-dev/halo,1591,7.529855,5.000000,7.341034,1.260842,1.000000,0.613655,6.814582,0.000000,28.273733
TeamNewPipe/NewPipe,586,8.295222,5.000000,10.321493,1.645051,1.000000,1.095578,43.296928,1.000000,237.059704
alibaba/easyexcel,560,6.632143,5.000000,6.092933,1.375000,1.000000,0.834466,32.025000,1.000000,355.668464
chinabugotech/hutool,2655,3.526554,3.000000,3.842994,1.282863,1.000000,0.754931,102.243691,0.000000,960.152663
xuxueli/xxl-job,171,4.777778,3.000000,5.257798,1.128655,1.000000,0.384781,20.426901,0.000000,97.419947
lenve/vhr,94,4.436170,2.000000,5.843034,1.021277,1.000000,0.145079,48.329787,6.000000,225.794958
alibaba/nacos,4027,5.726844,3.000000,6.776349,1.288552,1.000000,0.699283,23.029799,0.000000,312.088835
JakeWharton/butterknife,272,3.959559,2.000000,6.413936,1.235294,1.000000,0.710857,10.481618,0.000000,75.806461
proxyee-down-org/proxyee-down,60,5.516667,4.000000,6.223225,1.466667,1.000000,0.929127,19.516667,2.000000,49.728583
qiurunze123/miaosha,286,4.146853,3.000000,4.539817,1.125874,1.000000,0.390540,14.300699,0.000000,85.543713
dbeaver/dbeaver,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
google/gson,1076,3.024164,2.000000,4.463534,1.281599,1.000000,1.024207,20.598513,0.000000,378.734537
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,91,2.901099,2.000000,2.836488,1.000000,1.000000,0.000000,0.230769,0.000000,0.716115
spring-projects/spring-framework,18312,5.232361,3.000000,6.791705,1.475754,1.000000,1.523150,29.570173,0.000000,271.047451
libgdx/libgdx,4095,5.121856,3.000000,8.839504,1.798046,1.000000,1.619826,3442.141392,0.000000,144398.424581
bazelbuild/bazel,10654,7.550873,5.000000,10.371997,1.621551,1.000000,1.334087,68.087948,1.000000,954.442412
apache/shardingsphere,7855,6.977085,4.000000,12.939468,1.437301,1.000000,0.942643,28.280713,0.000000,408.414028
linlinjava/litemall,617,4.617504,3.000000,5.849816,1.126418,1.000000,0.332590,1532.884927,1.000000,9402.600398
dataease/dataease,1099,4.949955,3.000000,7.361486,1.207461,1.000000,0.681995,27.980892,0.000000,184.489663
LMAX-Exchange/disruptor,410,4.480488,3.000000,4.822103,1.290244,1.000000,0.810175,25.882927,0.000000,224.699486
williamfiset/Algorithms,463,2.611231,2.000000,1.791044,1.053996,1.000000,0.226254,16.196544,3.000000,38.507016
openzipkin/zipkin,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
winterbe/java8-tutorial,88,1.034091,1.000000,1.044403,1.000000,1.000000,0.000000,3.909091,0.000000,9.327547
heibaiying/BigData-Notes,77,5.714286,5.000000,3.512598,1.220779,1.000000,0.417492,0.818182,0.000000,1.861856
baomidou/mybatis-plus,1042,5.910749,4.000000,9.463957,1.332054,1.000000,0.788431,25.073896,0.000000,151.498716
mockito/mockito,2104,3.478137,2.000000,4.531970,1.399715,1.000000,1.082617,18.292776,0.000000,277.087668
zhisheng17/flink-learning,592,4.280405,3.000000,4.469762,1.130068,1.000000,0.365576,3.300676,0.000000,18.482556
dianping/cat,1892,5.527484,4.000000,6.049049,1.434461,1.000000,0.708367,23.035941,1.000000,104.205827
alibaba/ARouter,98,3.693878,2.000000,4.910347,1.408163,1.000000,0.784341,17.448980,0.000000,83.332661
elastic/logstash,865,5.448555,4.000000,5.945739,1.641618,1.000000,2.190283,21.314451,1.000000,103.086749
Netflix/zuul,501,6.508982,4.000000,7.667230,1.612774,1.000000,1.000878,24.890220,1.000000,137.109234
pinpoint-apm/pinpoint,9064,5.204545,4.000000,5.711776,1.142542,1.000000,0.497798,11.411077,0.000000,86.937800
oracle/graal,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
DuGuQiuBai/Java,619,0.772213,0.000000,1.312673,1.177706,1.000000,0.735653,1.079160,0.000000,5.194458
questdb/questdb,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
kekingcn/kkFileView,82,6.939024,5.000000,5.953208,1.048780,1.000000,0.216734,167.280488,1.000000,1205.542235
pxb1988/dex2jar,571,5.429072,3.000000,6.850519,1.570928,1.000000,0.982190,21.133100,0.000000,136.513850
Netflix/eureka,742,5.884097,4.000000,6.438543,1.270889,1.000000,0.705245,18.572776,0.000000,134.516235
codecentric/spring-boot-admin,464,7.762931,6.000000,6.267597,1.256466,1.000000,0.592393,7.213362,0.000000,27.793743
daimajia/AndroidViewAnimations,82,3.378049,2.000000,7.030165,1.804878,2.000000,0.398733,2.292683,0.000000,12.889356
tink-crypto/tink,1465,7.666212,5.000000,7.430359,1.288737,1.000000,1.241601,30.075768,1.000000,184.046454
deeplearning4j/deeplearning4j,5669,8.436761,7.000000,9.481499,2.189804,2.000000,19.440442,54799.523373,7.000000,2368620.679991
Team-xManager/xManager,524,2.017176,2.000000,2.604176,1.020992,1.000000,0.242553,4.767176,0.000000,70.601697
redis/jedis,1221,5.538084,3.000000,8.760262,1.420147,1.000000,0.850971,530.371826,1.000000,14553.310212
careercup/CtCI-6th-Edition,609,2.128079,2.000000,1.566513,1.068966,1.000000,0.332216,4.482759,1.000000,16.698077
Tencent/matrix,1393,5.680546,3.000000,7.131707,1.343144,1.000000,1.013549,12.894472,0.000000,65.669154
jhy/jsoup,408,6.308824,4.000000,7.290917,1.806373,1.000000,3.174570,240.098039,1.000000,1871.835992
doocs/jvm,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
beemdevelopment/Aegis,454,7.416300,5.000000,9.447230,1.709251,1.000000,1.020346,22.189427,1.000000,141.219568
jwtk/jjwt,555,5.623423,4.000000,6.830899,1.994595,1.000000,2.381860,25.834234,1.000000,142.145377
android-async-http/android-async-http,154,5.662338,4.000000,6.150850,1.785714,1.000000,1.078393,45.876623,3.000000,293.704630
lipangit/JiaoZiVideoPlayer,69,7.275362,6.000000,6.446349,2.115942,2.000000,0.978237,56.637681,4.000000,213.183639
xpipe-io/xpipe,1481,6.958812,5.000000,6.480453,1.574612,1.000000,1.086777,18.833896,1.000000,161.647542
resilience4j/resilience4j,1594,6.997491,6.000000,6.152589,1.466750,1.000000,1.008669,18.971142,1.000000,100.133428
signalapp/Signal-Server,1276,9.124608,5.000000,13.076343,1.480408,1.000000,0.934947,13.702194,0.000000,82.354417
HarlonWang/AVLoadingIndicatorView,92,3.565217,2.000000,2.364129,1.782609,1.000000,1.046460,6.750000,0.000000,42.844627
xuchengsheng/spring-reading,290,2.813793,3.000000,2.178810,1.027586,1.000000,0.164067,0.541379,0.000000,3.204670
paascloud/paascloud-master,742,6.103774,4.000000,6.045153,1.315364,1.000000,0.542654,5.456873,0.000000,25.617347
koral--/android-gif-drawable,64,6.156250,4.000000,6.372607,1.656250,1.000000,1.287532,59.734375,0.000000,286.659925
Justson/AgentWeb,256,5.398438,3.000000,7.348298,1.488281,1.000000,0.997968,18.792969,0.000000,99.162533
GcsSloop/AndroidNote,8,4.875000,1.000000,5.986592,1.375000,1.000000,0.517549,8.125000,3.000000,12.744046
cats-oss/android-gpuimage,153,2.960784,2.000000,3.748478,2.156863,2.000000,1.192728,11.300654,0.000000,54.176015
MyCATApache/Mycat-Server,1291,4.895430,3.000000,6.214816,1.294345,1.000000,0.720760,78.487994,0.000000,882.932227
nathanmarz/storm,851,4.425382,3.000000,5.148388,1.287897,1.000000,0.925753,33.070505,1.000000,133.141260
Blankj/awesome-java-leetcode,72,1.680556,2.000000,0.552240,1.000000,1.000000,0.000000,1.166667,1.000000,0.692007
apache/jmeter,1719,5.494474,4.000000,5.965544,1.998837,2.000000,1.501648,62.117510,3.000000,382.715792
react-native-image-picker/react-native-image-picker,11,6.181818,4.000000,6.431457,1.545455,2.000000,0.522233,66.181818,1.000000,211.240062
apereo/cas,8988,9.242546,8.000000,7.000209,1.496996,1.000000,1.023640,7.812528,0.000000,147.420510
google/tsunami-security-scanner,288,6.260417,5.000000,6.140478,1.541667,1.000000,0.950884,14.753472,0.500000,54.019015
LSPosed/LSPatch,146,4.342466,2.000000,5.896157,1.349315,1.000000,0.859771,23.876712,0.000000,186.881223
wildfirechat/im-server,1013,6.406713,3.000000,8.066573,1.541955,1.000000,2.490588,111.720632,1.000000,448.013772
checkstyle/checkstyle,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
florent37/MaterialViewPager,44,4.545455,3.000000,4.843862,1.295455,1.000000,0.553196,9.386364,0.000000,26.482303
aeron-io/aeron,1314,7.838661,4.000000,10.027069,1.299848,1.000000,0.913577,113.977169,0.000000,1255.532014
junixapp/XPopup,305,4.704918,3.000000,6.320768,1.577049,1.000000,1.127467,22.901639,0.000000,135.877933
aosp-mirror/platform_frameworks_base,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
dropwizard/metrics,688,5.482558,4.000000,4.648299,1.351744,1.000000,0.775233,9.533430,0.000000,39.272667
alibaba/atlas,2194,5.638560,4.000000,6.719593,1.435734,1.000000,0.917340,29.884230,1.000000,157.488393
Tencent/Shadow,674,4.244807,3.000000,4.121232,1.784866,1.000000,1.058333,17.332344,0.000000,94.803179
google/android-classyshark,212,3.169811,2.000000,3.566489,1.278302,1.000000,0.925111,10.250000,1.000000,27.568936
kaushikgopal/RxJava-Android-Samples,86,6.627907,3.000000,7.152205,1.825581,1.000000,0.960292,9.197674,3.000000,25.348776
dyc87112/SpringCloud-Learning,312,5.878205,4.000000,5.841797,1.044872,1.000000,0.262144,28.733974,1.000000,87.777945
square/dagger,406,3.174877,3.000000,2.946680,1.229064,1.000000,0.716123,5.987685,0.000000,45.362816
swagger-api/swagger-core,1476,4.820461,3.000000,6.877594,1.226287,1.000000,0.604178,49.711382,0.000000,740.878590
Bearded-Hen/Android-Bootstrap,79,6.962025,3.000000,8.321186,1.670886,1.000000,0.858166,31.392405,2.000000,77.891018
geeeeeeeeek/WeChatLuckyMoney,21,5.380952,3.000000,5.123243,1.380952,1.000000,0.497613,8.809524,1.000000,18.424492
NanoHttpd/nanohttpd,144,4.340278,3.000000,4.361566,1.791667,1.000000,1.563907,22.159722,1.000000,88.269190
JakeWharton/ActionBarSherlock,427,6.283372,4.000000,7.111241,1.950820,1.000000,1.565448,63.398126,0.000000,264.278912
mrniko/netty-socketio,169,4.964497,3.000000,6.616082,1.266272,1.000000,0.561767,33.017751,0.000000,255.151017
alibaba/jvm-sandbox,435,3.482759,2.000000,4.403241,1.326437,1.000000,0.828143,12.360920,0.000000,57.595489
exadel-inc/CompreFace,333,7.852853,6.000000,7.325025,1.657658,1.000000,1.329658,3.894895,0.000000,16.049746
google/error-prone,3137,7.810966,5.000000,13.658986,1.534906,1.000000,1.088030,25.484539,0.000000,336.764754
markzhai/AndroidPerformanceMonitor,54,4.074074,3.000000,3.942281,1.277778,1.000000,0.529031,14.074074,0.000000,37.249213
fuzhengwei/itstack-demo-design,215,2.167442,2.000000,2.281551,1.106977,1.000000,0.324538,5.325581,0.000000,12.475997
yanzhenjie/AndPermission,168,3.994048,3.000000,3.666480,1.166667,1.000000,0.373792,7.488095,0.000000,35.261723
junit-team/junit-framework,3428,4.708868,3.000000,5.592458,1.303384,1.000000,0.990247,36.354434,0.000000,749.481292
quartz-scheduler/quartz,502,5.575697,3.000000,6.290795,1.442231,1.000000,0.830824,119.366534,1.000000,763.879170
ximsfei/Android-skin-support,405,6.079012,5.000000,5.036862,1.392593,1.000000,0.732177,17.671605,1.000000,68.422923
ArthurHub/Android-Image-Cropper,40,7.725000,4.000000,9.418987,1.375000,1.000000,0.540062,70.375000,0.000000,236.733832
facebook/buck,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
apache/zeppelin,2107,5.731372,3.000000,7.249585,1.256763,1.000000,0.660258,43.072140,1.000000,343.546683
aa112901/remusic,845,5.186982,3.000000,6.427177,1.453254,1.000000,0.808283,41.646154,0.000000,345.672367
traccar/traccar,1803,5.572379,4.000000,4.471472,1.922906,2.000000,0.822911,5.919578,0.000000,47.355665
Graylog2/graylog2-server,7052,8.045661,6.000000,8.871619,1.335791,1.000000,0.715218,18.641520,1.000000,102.040822
ityouknow/spring-cloud-examples,60,3.833333,4.000000,1.076193,1.016667,1.000000,0.129099,0.466667,0.000000,2.102998
lightbend/config,200,5.475000,3.000000,7.139625,2.055000,1.000000,4.373513,76.180000,0.000000,399.353029
ikew0ng/SwipeBackLayout,18,5.222222,3.000000,6.044497,1.388889,1.000000,0.697802,61.333333,3.000000,163.940807
daimajia/NumberProgressBar,6,3.166667,0.500000,4.915960,1.333333,1.000000,0.516398,91.833333,0.000000,222.018393
DerekYRC/mini-spring,149,3.409396,2.000000,3.554619,1.221477,1.000000,0.666228,5.080537,0.000000,20.557933
pedrovgs/EffectiveAndroidUI,73,4.438356,3.000000,4.648734,1.342466,1.000000,0.628472,11.616438,1.000000,27.727659
obsidiandynamics/kafdrop,100,5.520000,3.000000,7.568515,1.320000,1.000000,0.851380,28.210000,0.000000,130.289057
alipay/SoloPi,1170,4.623077,2.000000,6.674824,1.205983,1.000000,0.649642,13.135897,0.000000,70.341933
google/google-java-format,165,5.727273,4.000000,10.125050,1.424242,1.000000,0.863568,66.800000,1.000000,361.970828
lets-blade/blade,307,4.622150,3.000000,5.953570,1.234528,1.000000,0.773571,42.156352,0.000000,185.466630
javaparser/javaparser,1984,8.823085,5.000000,17.403069,1.877016,1.000000,1.985321,295.000000,0.000000,6197.810284
Nightonke/BoomMenu,115,5.634783,4.000000,6.749049,1.573913,1.000000,0.848744,227.669565,0.000000,2078.287515
opengoofy/hippo4j,1179,4.646310,3.000000,4.911225,1.202714,1.000000,0.590352,5.813401,0.000000,25.303740
dmytrodanylyk/circular-progress-button,39,3.974359,2.000000,4.373889,1.282051,1.000000,0.510352,25.333333,0.000000,131.912717
yarolegovich/DiscreteScrollView,105,4.228571,2.000000,4.818349,1.247619,1.000000,0.455331,19.114286,0.000000,101.516796
Devlight/InfiniteCycleViewPager,41,5.048780,3.000000,6.484409,1.634146,2.000000,0.887584,102.536585,0.000000,513.512955
crazycodeboy/react-native-splash-screen,12,3.416667,2.500000,2.968267,1.250000,1.000000,0.452267,2.000000,0.500000,2.696799
springside/springside4,315,3.165079,2.000000,3.380073,1.276190,1.000000,0.803994,24.784127,1.000000,109.011472
robolectric/robolectric,3976,5.932093,4.000000,6.695115,1.366700,1.000000,1.208497,72.472837,0.000000,629.822923
hongyangAndroid/FlowLayout,34,4.323529,3.000000,3.811630,1.411765,1.000000,0.556920,5.000000,0.000000,16.007574
knightliao/disconf,425,4.437647,3.000000,5.129594,1.357647,1.000000,0.829352,12.616471,0.000000,68.215365
ElderDrivers/EdXposed,920,6.065217,4.000000,6.955328,1.603261,1.000000,1.049478,191.078261,1.000000,2193.771820
wuhaoyu1990/MagicCamera,352,3.542614,3.000000,4.989265,1.465909,1.000000,0.682694,7.630682,0.000000,33.219635
alibaba/jetcache,446,6.033632,4.000000,6.504362,1.636771,1.000000,1.100722,15.908072,0.000000,111.448998
dm77/barcodescanner,73,5.287671,2.000000,6.263828,1.643836,1.000000,0.855860,11.821918,0.000000,32.825863
facebookarchive/rebound,87,4.379310,2.000000,5.630567,1.321839,1.000000,0.580582,34.931034,0.000000,238.104179
houbb/sensitive-word,225,3.040000,2.000000,3.597271,1.173333,1.000000,0.482923,20.791111,0.000000,153.850768
apache/nifi,9860,7.255984,4.000000,10.774425,1.500913,1.000000,0.881162,56.051521,1.000000,957.817676
ikarus23/MifareClassicTool,33,11.090909,9.000000,10.366302,2.272727,3.000000,0.910794,106.030303,3.000000,397.907062
google/google-authenticator,61,3.885246,2.000000,5.050077,1.688525,1.000000,1.310737,29.655738,1.000000,90.157064
xxv/android-lifecycle,6,7.000000,7.500000,5.215362,1.666667,2.000000,0.516398,151.666667,190.000000,121.958463
lingochamp/okdownload,343,6.443149,4.000000,6.846829,1.265306,1.000000,0.777718,35.259475,0.000000,204.233970
razerdp/BasePopup,568,5.887324,3.000000,6.571381,1.695423,1.000000,1.208661,34.294014,1.000000,226.371882
alibaba/QLExpress,330,5.866667,3.000000,10.934196,1.409091,1.000000,0.642404,38.993939,2.000000,286.584912
Clans/FloatingActionButton,47,4.638298,2.000000,7.376300,1.382979,1.000000,0.767639,139.680851,0.000000,691.843759
citerus/dddsample-core,157,7.089172,5.000000,6.526451,1.127389,1.000000,0.489978,7.031847,0.000000,23.419644
tonikelope/megabasterd,201,2.761194,1.000000,4.402577,1.487562,1.000000,1.330825,85.721393,0.000000,378.927172
j-easy/easy-rules,162,5.092593,4.000000,3.566242,1.314815,1.000000,0.654390,7.629630,1.000000,23.508922
brianfrankcooper/YCSB,236,7.050847,3.000000,7.547689,1.635593,1.000000,0.751342,7.851695,0.000000,19.520400
CellularPrivacy/Android-IMSI-Catcher-Detector,251,5.059761,3.000000,6.862100,1.330677,1.000000,0.661978,4.964143,0.000000,16.362479
natario1/CameraView,534,5.597378,3.000000,8.069403,1.374532,1.000000,0.736471,34.762172,0.000000,335.637935
OpenTSDB/opentsdb,958,7.139875,4.000000,7.678170,1.283925,1.000000,0.801496,64.875783,0.000000,365.983358
commonsguy/cw-omnibus,1944,5.268004,4.000000,4.952963,1.685185,2.000000,0.830868,20.076132,0.000000,131.695513
xuexiangjys/XUI,1656,5.732488,3.000000,6.436607,1.659420,1.000000,0.944986,52.740942,1.000000,352.169574
jankotek/mapdb,263,3.239544,2.000000,4.115651,2.022814,1.000000,3.553228,81.847909,0.000000,452.758871
youlookwhat/CloudReader,492,4.750000,3.000000,5.516915,1.455285,1.000000,0.922690,19.412602,0.000000,84.247348
spring-attic/spring-mvc-showcase,58,5.172414,5.000000,3.685619,1.206897,1.000000,0.449507,9.448276,0.000000,23.868185
frogermcs/InstaMaterial,80,4.787500,2.000000,6.377758,1.537500,1.000000,0.856010,9.937500,0.000000,29.582472
amitshekhariitbhu/RxJava2-Android-Samples,185,3.664865,2.000000,4.374594,1.254054,1.000000,0.460738,6.286486,0.000000,41.731922
lugg/react-native-config,23,4.565217,4.000000,3.057421,1.391304,1.000000,0.656376,1.956522,1.000000,3.295703
Ramotion/folding-cell-android,21,4.142857,2.000000,4.519798,1.333333,1.000000,0.483046,13.380952,0.000000,37.521296
killbill/killbill,2443,8.661482,6.000000,10.079517,1.794924,1.000000,1.101383,28.265248,1.000000,124.022144
vespa-engine/vespa,11456,6.042423,4.000000,7.228052,1.616358,1.000000,1.504508,37.933485,1.000000,302.557578
react-native-webrtc/react-native-webrtc,67,6.119403,4.000000,9.421964,1.149254,1.000000,0.359028,8.716418,0.000000,29.372119
Docile-Alligator/Infinity-For-Reddit,1588,6.930730,4.000000,10.865865,1.551637,1.000000,2.392064,30.837531,1.000000,314.797045
apache/hbase,11527,8.171424,5.000000,10.889628,1.497007,1.000000,1.594815,69.442526,1.000000,871.368616
nisrulz/android-tips-tricks,1,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
ronmamo/reflections,197,2.771574,1.000000,5.445800,1.152284,1.000000,0.502197,13.659898,0.000000,71.364908
allure-framework/allure2,269,6.059480,4.000000,5.638702,1.304833,1.000000,0.789397,11.602230,1.000000,38.456432
google/cameraview,72,4.833333,3.000000,5.312754,1.263889,1.000000,0.581234,12.125000,0.000000,34.166509
pardom-zz/ActiveAndroid,62,5.435484,3.000000,5.541560,1.741935,1.000000,1.023262,22.080645,3.000000,80.107571
cjlin1/libsvm,34,3.264706,1.500000,4.040018,1.352941,1.000000,0.883600,19.617647,0.000000,100.043631
romandanylyk/PageIndicatorView,72,5.513889,4.000000,5.553816,1.500000,1.000000,0.712069,22.805556,1.000000,161.995708
claritylab/lucida,268,6.548507,5.000000,7.543723,1.611940,1.000000,0.869030,23.518657,1.000000,74.216277
zlt2000/microservices-platform,351,6.356125,5.000000,5.731737,1.250712,1.000000,0.585387,6.435897,0.000000,31.272001
chewiebug/GCViewer,291,5.274914,4.000000,4.803019,2.164948,1.000000,2.335692,49.044674,1.000000,236.706048
chentao0707/SimplifyReader,632,4.556962,2.000000,7.015937,1.387658,1.000000,0.890186,60.294304,0.000000,341.914831
oracle/opengrok,1137,5.314864,3.000000,6.787084,1.633245,1.000000,1.295327,78.568162,1.000000,1081.860857
jdamcd/android-crop,31,4.290323,1.000000,5.562934,1.387097,1.000000,0.667204,26.483871,0.000000,80.434185
zhanghai/Douya,1244,5.603698,4.000000,6.353468,1.625402,1.000000,1.087276,28.397910,1.000000,198.598958
hussien89aa/AndroidTutorialForBeginners,129,4.511628,4.000000,4.653823,1.496124,1.000000,0.730197,2.744186,0.000000,6.917233
TGX-Android/Telegram-X,2885,9.468631,4.000000,19.489519,1.422877,1.000000,0.874213,544.440208,1.000000,8407.715782
janishar/android-mvp-architecture,146,5.815068,3.000000,6.530568,1.383562,1.000000,0.807382,14.109589,0.000000,36.023579
discord-jda/JDA,1343,8.851080,6.000000,12.413763,1.822785,1.000000,1.189191,127.267312,3.000000,1223.021338
HotBitmapGG/bilibili-android-client,559,4.921288,3.000000,6.313571,1.817531,1.000000,1.171180,42.790698,3.000000,173.102724
robinhood/ticker,31,4.612903,4.000000,4.758693,1.322581,1.000000,0.701764,27.612903,0.000000,110.131036
dreamhead/moco,577,5.819757,5.000000,5.758034,1.538995,1.000000,0.853275,34.656846,1.000000,360.831471
bingoogolapple/BGARefreshLayout-Android,162,5.148148,3.000000,5.570800,1.407407,1.000000,0.752268,9.796296,1.000000,42.536377
jacoco/jacoco,941,4.256111,3.000000,4.440299,1.432519,1.000000,0.697232,12.609989,0.000000,79.992193
azkaban/azkaban,1283,6.472330,4.000000,8.117784,1.352299,1.000000,0.797207,35.840218,1.000000,172.518041
pytorch/serve,251,5.800797,3.000000,7.263619,1.466135,1.000000,0.899916,63.916335,3.000000,327.665373
bjmashibing/InternetArchitect,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
google/open-location-code,67,4.955224,3.000000,6.294377,1.179104,1.000000,0.458105,4.552239,0.000000,11.360863
hugeterry/CoordinatorTabLayout,17,5.294118,3.000000,5.565122,1.411765,1.000000,0.507300,9.411765,0.000000,32.754883
mybatis/spring-boot-starter,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
bingoogolapple/BGABanner-Android,53,5.000000,3.000000,6.016004,1.584906,2.000000,0.602366,26.283019,1.000000,155.695015
dromara/hmily,877,5.371722,4.000000,4.840235,1.220068,1.000000,0.571914,10.645382,0.000000,56.227509
apache/streampark,561,7.467023,5.000000,7.883260,1.281640,1.000000,0.645729,18.969697,0.000000,71.501180
Manabu-GT/ExpandableTextView,15,5.133333,4.000000,6.034030,1.733333,1.000000,1.099784,11.800000,0.000000,39.397607
tencentmusic/supersonic,1136,6.281690,4.000000,7.315054,1.290493,1.000000,0.625548,46.072183,0.000000,654.952778
PaperMC/Folia,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
BoltsFramework/Bolts-Android,158,3.000000,2.000000,3.522448,1.088608,1.000000,0.412847,19.012658,0.000000,150.347241
qunarcorp/bistoury,1361,4.837619,3.000000,5.845380,1.279206,1.000000,0.723503,21.415871,1.000000,119.189390
Piasy/BigImageViewer,84,4.607143,3.000000,4.817183,1.285714,1.000000,0.528043,12.809524,1.000000,61.288273
aporter/coursera-android,608,4.248355,4.000000,3.670421,1.500000,1.000000,0.661982,3.358553,0.000000,35.346854
mercyblitz/tech-weekly,81,2.888889,2.000000,3.528456,1.024691,1.000000,0.156150,2.123457,0.000000,9.841726
zzhoujay/RichText,132,4.272727,2.000000,5.841535,1.446970,1.000000,0.849916,10.545455,0.000000,45.941610
lukas-krecan/ShedLock,391,5.918159,5.000000,4.724020,2.189258,2.000000,2.030533,7.319693,0.000000,22.488461
JoanZapata/android-iconify,43,3.511628,3.000000,3.724898,1.232558,1.000000,0.427463,5.186047,1.000000,15.308348
pingfangushi/screw,136,4.985294,3.000000,4.465481,1.352941,1.000000,0.793767,5.242647,0.000000,9.678917
lilishop/lilishop,1552,7.614691,5.000000,8.176786,1.317010,1.000000,0.575690,13.322165,0.000000,92.794042
